season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2025,ARI,REG,17,427,649,4354,29,11,59,-399,4,4,4660,2111,216,4.7595797736981815,1.033828623677382,1,183,90,49,5,366,1583,9,5,3,91,-21.504854023401514,0,35,22,8,3,427,617,4354,29,1,1,4660,2111,216,136.9355351435437,1,183,90,49,5,0,593,23,579,70,294,13,30.0,205.0,71,10,51,81,0,1,1,0,3,-6,9,13,2,115,842,62,9,4,1,13,10,19,217,79,1979,25,33,7,1,57,0.7575757575757576,0,5,7,7,6,0,0,0,1,2,3,1,42;50;29;47;34;28;33;57;40;44;32;40;39;48;34;26;29;52;38;50;51;25;34;45;56,57;58;33;43;63;50;44,46,1003,348,46,36,36,0,0,1.0,0,0,0,0,,59,1,65,2927,21,4,6,3,17,29,312,0,2555
2025,ATL,REG,17,332,545,3703,19,8,26,-180,5,2,4170,1871,185,4.209096397094654,-3.2166077653107616,1,156,75,47,8,477,2138,17,6,4,113,-19.203365768931064,1,54,37,9,2,332,519,3703,19,4,2,4170,1871,185,65.36143829808668,1,156,75,47,8,0,642,17,471,95,429,12,57.0,366.0,97,16,173,87,1,2,0,3,8,-5,7,34,0,108,819,61,14,5,1,19,10,24,168,67,1531,32,39,4,3,56,0.8205128205128205,0,3,11,10,8,0,0,0,0,2,2,0,41;36;38;29;33;33;54;38;26;33;38;45;38;43;52;45;56;41;54;52;35;43;27;43;49;40;56;51;40;51;38;38,44;49;55;50,37;50;37,1336,198,124,31,33,1,1,0.9393939393939394,1,1,0,0,43,64,0,69,2889,34,8,6,3,17,30,231,0,2598
2025,BAL,REG,17,278,422,3278,23,11,45,-293,5,3,3422,1361,141,4.510214603981404,2.992383696376838,1,122,65,43,7,507,2662,23,7,4,146,42.21306531138224,0,71,56,25,6,278,407,3278,23,6,4,3422,1361,141,76.0054389442312,1,122,65,43,7,0,649,21,499,66,250,14,30.0,189.0,101,11,242,73,1,1,0,5,7,-4,9,85,1,99,746,62,16,6,4,22,12,16,198,74,1911,30,34,4,0,52,0.8823529411764706,0,10,11,8,1,0,0,0,0,1,3,0,52;49;43;32;41;43;32;27;37;42;28;32;44;28;30;22;25;24;44;31;35;27;36;28;36;27;36;22;34;40,55;56;56;44,,1027,211,0,44,46,2,0,0.9565217391304348,0,1,1,0,44,53,0,74,2657,24,7,11,6,6,23,159,0,2378
2025,BUF,REG,17,344,495,3981,29,10,40,-298,1,1,3614,2098,196,97.06081157919405,3.819331445873157,2,154,89,61,10,547,2714,30,12,5,146,41.28521861578723,0,68,51,16,6,344,479,3981,29,4,2,3614,2098,196,161.62165664356985,2,155,89,61,9,1,576,18,440,84,359,13,36.0,226.0,92,13,140,62,1,2,0,0,7,-18,7,29,1,101,848,66,14,5,3,19,9,30,194,66,1842,19,21,2,0,52,0.9047619047619048,0,4,7,7,1,0,0,0,1,0,1,0,25;43;32;28;52;33;48;35;31;45;45;43;39;44;38;27;37;26;41,39;52,,712,91,0,48,53,4,1,0.9056603773584906,1,1,0,0,32,49,0,62,2189,21,5,7,3,18,16,118,0,2011
2025,CAR,REG,17,329,515,3304,24,12,35,-256,4,3,3450,1629,170,-27.63458678505455,1.4186954436202843,1,126,63,43,4,461,1977,9,6,5,109,-19.355536005205092,0,45,28,9,2,329,480,3304,24,3,1,3450,1630,170,72.52613257134817,1,126,63,43,4,0,589,18,556,65,280,9,30.0,190.0,58,15,220,64,2,2,0,0,8,-23,6,22,0,95,762,62,12,8,1,20,11,24,176,54,1304,24,29,4,1,57,0.8275862068965517,0,6,8,8,2,0,0,0,1,0,3,0,48;27;57;35;41;35;49;31;55;33;30;29;48;49;29;34;28;25;33;40;27;41;48;35,55;32;57;54,48,907,198,48,27,30,3,0,0.9,3,3,0,0,33;49;28,56,0,68,2642,27,6,7,3,16,24,313,1,2269
2025,CHI,REG,17,334,574,3991,28,7,24,-165,1,1,4944,1874,190,47.89793604026958,-3.426057128305722,1,175,88,60,7,505,2451,19,9,2,142,32.96097338097368,2,67,48,11,0,334,532,3991,28,0,0,4944,1874,190,124.25548239264124,1,174,86,60,7,0,615,27,497,66,282,12,35.0,204.0,84,23,348,75,2,0,0,0,11,-49,10,-5,0,120,970,52,7,8,0,15,4,21,231,68,1792,33,39,4,2,54,0.8461538461538461,0,5,11,13,4,0,0,0,1,1,2,0,42;30;46;43;52;51;47;48;41;38;27;39;24;33;32;39;47;24;36;22;38;54;33;48;47;30;33;41;41;46;51;43;29,50;58;45;35,48;47,1295,188,95,42,42,0,0,1.0,2,2,0,0,38;48,60,0,69,2870,21,10,8,7,9,26,306,0,2424
2025,CIN,REG,17,412,640,4244,36,17,36,-239,2,1,4707,1954,213,13.347914985647932,1.2188274511381199,2,173,78,47,5,381,1591,11,4,2,102,7.009361444607248,0,37,27,8,0,412,608,4244,36,6,4,4707,1954,213,67.33135669777508,2,173,78,47,5,1,603,18,582,56,239,11,34.0,195.0,79,13,125,76,1,0,0,0,5,0,7,11,0,88,633,68,12,0,0,12,7,23,220,81,2058,25,28,3,0,63,0.8928571428571429,0,4,6,10,4,1,0,0,0,0,2,1,35;31;45;26;50;45;49;23;45;36;26;41;33;43;48;54;63;31;42;24;33;52;41;45;57,67;56;54,,1018,177,0,41,44,2,1,0.9318181818181818,1,1,0,0,36,65,0,70,3285,28,4,10,11,12,28,277,0,2788
2025,CLE,REG,17,323,558,3152,16,18,51,-345,4,3,3785,1732,134,-164.18732132383388,-5.6806103565455395,0,123,63,35,7,421,1649,10,1,1,100,-22.132469403225144,1,41,31,6,1,323,522,3152,16,3,2,3785,1732,134,-52.077358904856865,0,123,63,35,7,0,562,41,577,117,486,15,53.0,377.0,113,11,292,65,3,5,0,0,7,-1,7,47,1,108,840,63,7,7,0,14,7,32,232,67,1587,24,27,3,0,55,0.8888888888888888,0,4,10,5,5,0,0,0,1,1,1,0,45;38;35;55;33;31;31;53;32;30;45;29;30;24;46;53;38;50;24;41;50;33;27;49,36;56;47,,922,139,0,25,26,1,0,0.9615384615384616,2,2,0,0,55;49,91,2,67,4165,23,14,8,11,17,41,522,2,3423
2025,DAL,REG,17,419,624,4735,31,12,31,-208,2,1,5069,2101,229,113.9334655651819,2.1433439099611915,3,191,93,56,12,465,2136,18,9,5,120,-9.32354839500308,0,46,34,13,3,419,607,4735,31,8,3,5069,2099,229,161.14302527426966,3,191,93,56,12,1,615,18,552,85,365,11,34.0,231.0,108,6,120,42,1,1,1,0,10,-6,6,0,0,133,1136,81,14,6,1,20,9,12,82,82,2097,36,42,6,0,64,0.8571428571428571,0,10,5,10,8,3,0,0,0,0,5,1,41;53;51;44;64;46;53;33;22;35;23;28;47;61;29;24;26;50;42;49;36;26;57;42;55;63;29;37;26;41;41;33;42;52;51;22,68;51;51;59;58;57,,1474,344,0,47,48,1,0,0.9791666666666666,2,2,0,0,46;42,41,0,65,1994,14,1,1,0,13,26,246,0,1748
2025,DEN,REG,17,388,613,3931,25,11,23,-124,2,1,4488,2093,196,58.83243057615339,-1.3255467357700819,4,154,73,47,7,456,2018,18,4,2,111,-9.305635628482706,0,51,36,11,3,388,584,3931,25,1,1,4488,2093,196,111.48689634796874,4,154,73,47,7,1,599,15,533,82,418,9,68.0,424.0,164,10,168,94,1,3,0,0,3,0,4,0,0,124,1149,76,6,4,1,10,6,34,481,59,1491,28,32,3,1,57,0.875,0,10,11,3,4,0,0,0,0,2,1,0,39;33;42;26;55;36;57;27;39;42;34;32;29;24;38;54;35;33;33;23;54;21;27;30;24;26;41;23,42;59;44,51,977,145,51,39,39,0,0,1.0,3,3,0,0,39;34;35,75,0,76,3573,30,11,3,9,23,29,308,0,3085
2025,DET,REG,17,394,582,4567,35,8,39,-264,3,3,3732,2422,224,103.36001665264264,1.5443891882896423,0,185,101,66,8,442,2041,21,7,4,105,-24.568552161037626,1,44,32,14,7,394,550,4567,35,1,0,3732,2422,224,201.03470354321308,0,185,100,65,8,1,626,10,468,67,360,15,48.0,328.0,102,13,132,93,0,0,1,0,3,-32,6,5,0,104,718,65,7,4,1,11,7,35,291,66,1756,27,34,5,2,59,0.7941176470588235,0,6,8,9,4,0,0,0,0,1,3,1,30;27;34;45;48;58;28;58;41;22;28;48;54;37;59;31;38;47;46;24;48;36;48;34;30;25;42,55;67;54;43;53,45;52,1066,272,97,54,56,1,1,0.9642857142857143,1,1,0,0,42,56,0,70,2611,28,2,4,2,26,22,173,0,2398
2025,GB,REG,17,328,489,3845,26,7,29,-228,3,2,4283,1665,180,118.79636839653993,5.9501635315625565,2,142,90,58,9,492,2037,18,9,4,124,-15.250886578749302,0,57,38,6,1,328,460,3845,26,3,0,4283,1665,180,184.50174326946802,2,142,90,58,9,0,608,22,568,72,277,8,36.0,216.0,105,7,0,59,0,1,0,37,10,-10,7,29,0,105,818,72,11,8,3,19,6,26,146,60,1509,28,34,5,1,61,0.8235294117647058,0,10,10,4,3,1,0,0,0,3,1,1,34;38;22;56;39;53;34;43;39;31;61;28;25;49;27;32;30;40;45;53;26;35;37;26;22;28;24;24,48;57;44;43;64,43,1001,256,43,39,42,2,1,0.9285714285714286,0,0,0,0,,49,0,72,2533,18,5,3,8,12,21,222,0,2151
2025,HOU,REG,17,364,582,3956,24,9,31,-249,0,0,4765,1634,184,30.940926408704808,-1.5584323494602499,1,148,78,48,11,475,1852,9,4,0,99,-44.93582433584685,0,43,29,8,1,364,553,3956,24,3,2,4765,1634,184,99.74850912576683,1,148,78,48,11,0,579,21,477,91,482,14,47.0,366.0,95,19,126,90,1,0,0,1,4,-15,10,64,4,118,989,59,5,3,1,8,3,34,360,54,1407,48,52,3,1,57,0.9230769230769231,0,9,12,18,9,0,0,0,0,0,3,0,51;45;53;35;53;27;47;43;50;57;34;36;46;33;34;37;30;23;41;38;40;41;23;41;43;35;24;43;26;23;43;35;28;30;55;22;33;55;50;49;41;44;51;48;29;43;44;43,52;54;51,52,1895,157,52,30,30,0,0,1.0,1,1,0,0,35,72,0,73,3424,30,10,10,5,14,33,326,1,2998
2025,IND,REG,17,360,547,4085,25,14,29,-212,8,4,4380,1802,199,47.66947836835752,0.5643467689460179,1,161,88,44,9,442,2007,27,5,1,122,33.99101845990116,1,48,35,10,4,360,530,4085,25,2,1,4380,1802,199,105.67093737042343,1,161,88,44,9,0,682,18,498,85,355,10,39.0,247.0,98,14,107,79,1,1,0,0,10,-7,7,11,0,104,870,60,13,7,2,20,9,22,201,67,1927,34,36,2,0,60,0.9444444444444444,0,8,12,7,6,1,0,0,0,0,2,0,24;35;28;48;29;33;36;28;45;24;36;52;38;45;36;43;52;53;34;44;32;23;42;28;36;42;54;60;39;51;33;50;39;22,51;53,,1314,104,0,42,45,3,0,0.9333333333333333,1,1,0,0,45,44,0,59,2146,22,4,3,3,15,19,120,0,1966
2025,JAX,REG,17,344,563,4026,29,12,41,-247,3,2,4880,1646,196,41.309487587430226,-1.7126267227655791,0,167,88,57,6,489,1956,22,4,3,124,-8.265188974471178,1,48,28,9,3,344,547,4026,29,3,1,4880,1646,196,110.37559969840919,0,167,88,57,6,2,567,21,497,77,298,11,32.0,226.0,95,22,312,106,2,2,1,0,6,0,9,2,0,128,1080,64,9,5,2,14,6,26,356,58,1591,30,34,4,0,68,0.8823529411764706,0,5,9,8,6,2,0,0,0,2,2,0,35;47;36;28;42;25;39;26;44;52;68;33;48;32;53;33;52;52;45;35;48;33;22;47;26;34;42;53;67;52,47;47;50;50,,1249,194,0,50,51,1,0,0.9803921568627451,1,1,0,0,52,60,0,66,2878,22,13,5,6,9,27,178,0,2580
2025,KC,REG,17,363,584,3947,23,12,47,-308,5,1,4533,2110,189,24.883655681429087,-0.888184510944971,2,160,76,52,9,430,1812,15,5,2,122,8.470350136755696,0,44,23,3,0,363,549,3947,23,3,0,4533,2110,189,109.25092200330967,2,160,76,52,9,0,608,18,510,74,234,8,33.0,155.0,103,10,64,60,0,2,0,0,13,11,4,1,0,119,951,70,12,5,1,17,3,32,259,66,1727,33,38,5,0,59,0.868421052631579,1,9,9,9,5,0,0,0,0,2,3,0,35;59;27;56;54;48;28;38;23;31;33;38;46;19;31;31;28;48;22;25;27;36;27;47;54;41;27;53;47;36;40;47;41,58;40;56;43;51,,1243,248,0,31,35,3,1,0.8857142857142857,1,1,0,0,27,56,0,69,2664,25,5,8,3,16,24,291,0,2313
2025,LA,REG,17,388,598,4707,46,8,23,-150,2,2,5428,1850,236,150.45430748211436,1.5916259021594608,0,184,99,72,8,465,2152,17,5,3,126,-4.0547263087043355,0,53,38,12,2,388,581,4707,46,2,2,5428,1850,236,198.64957366533793,0,184,99,72,8,1,622,27,477,66,341,12,47.0,304.0,117,16,240,82,1,0,0,76,4,-30,9,33,0,75,573,67,6,5,0,11,7,28,259,59,1479,22,28,4,2,52,0.7857142857142857,0,6,6,8,2,0,0,1,1,1,1,0,21;21;51;28;33;46;42;37;48;36;40;52;26;37;44;23;28;41;35;34;42;40,53;26;39;48,36;44,805,166,80,62,65,1,2,0.9538461538461539,0,0,0,0,,50,0,68,2315,20,10,5,4,10,21,336,1,1899
2025,LAC,REG,17,367,569,3953,26,14,60,-345,4,2,4546,1762,185,-23.35207905811383,0.5311362171436057,0,151,71,45,8,466,2067,10,5,1,117,-6.312613866059048,1,51,36,14,3,367,544,3953,26,6,2,4546,1762,185,84.81846393936826,0,151,71,45,8,0,596,18,432,90,347,10,45.0,256.0,91,19,127,84,0,1,1,0,8,-5,4,11,0,104,787,58,13,4,2,17,7,21,136,66,1633,38,41,3,0,59,0.926829268292683,0,7,14,12,5,0,0,0,1,1,1,0,39;36;38;20;32;24;43;43;55;35;31;29;35;33;43;43;34;45;27;52;32;59;42;41;46;56;45;34;31;46;54;49;23;49;37;27;27;30,49;55;32,,1465,136,0,34,35,1,0,0.9714285714285714,2,2,0,0,43;33,60,0,60,2871,23,5,7,4,23,21,305,1,2486
2025,LV,REG,17,340,515,3315,20,19,64,-464,3,1,3208,1806,161,-107.57279016847852,-1.0189383799730525,1,128,59,37,3,369,1317,5,3,2,67,-96.84002493454122,0,31,20,5,2,340,494,3315,20,2,0,3208,1806,161,18.74553884094692,1,128,59,37,3,0,658,24,512,103,363,10,36.0,212.0,82,8,63,52,0,1,1,0,6,-4,8,3,0,108,901,67,7,5,2,12,4,29,173,68,1845,22,27,4,1,60,0.8148148148148148,0,5,6,6,4,1,0,0,0,2,2,0,51;40;54;40;37;37;29;24;37;50;29;24;35;45;38;41;46;42;32;23;55;60,58;57;48;48,54,869,211,54,21,22,1,0,0.9545454545454546,1,2,0,1,54;60,72,2,64,3409,24,18,4,4,13,33,400,2,2929
2025,MIA,REG,17,322,479,3322,23,18,38,-254,2,1,3362,1807,174,4.929832002705847,1.6554062113617405,1,139,72,43,6,432,2044,14,11,2,104,-12.381004214884621,0,55,43,16,4,322,462,3322,23,3,2,3362,1807,174,66.50963335442844,1,138,72,43,6,1,629,26,526,74,302,11,39.0,242.0,79,9,102,53,0,0,0,10,12,-20,11,19,0,101,811,75,10,9,1,19,6,21,279,65,1716,27,29,2,0,54,0.9310344827586207,0,5,8,11,3,0,0,0,1,0,1,0,40;44;47;36;43;47;27;33;26;34;36;49;43;46;46;39;29;39;25;48;33;43;53;54;29;31;52,57;35,,1072,92,0,34,35,1,0,0.9714285714285714,1,1,0,0,29,63,0,64,3005,21,5,11,3,19,25,259,1,2686
2025,MIN,REG,17,298,484,3208,18,21,60,-374,6,3,3757,1531,157,-101.06956126373714,-2.945649601582788,2,131,65,39,5,410,1841,15,8,2,102,-12.985479250163696,0,53,38,7,1,298,468,3208,18,2,1,3757,1531,157,26.331830222460397,2,131,65,39,5,0,619,23,583,107,463,18,49.0,327.0,98,8,154,55,1,2,0,41,12,-35,13,74,1,111,886,61,14,9,2,23,9,32,303,67,1741,33,35,2,0,62,0.9428571428571428,0,6,9,7,10,1,0,0,0,0,2,0,31;59;33;51;35;62;41;28;59;34;28;35;29;54;50;20;49;43;31;52;59;45;29;53;43;31;30;52;56;42;43;25;37,51;53,,1369,104,0,31,31,0,0,1.0,0,0,0,0,,65,0,77,3184,25,7,6,3,22,27,231,0,2893
2025,NE,REG,17,361,502,4459,31,8,48,-201,7,3,4612,1794,206,162.6069075691568,10.68096811036846,1,181,101,69,6,494,2191,22,6,4,128,-14.454265862475495,2,54,41,16,5,361,482,4459,31,2,1,4612,1794,206,246.59391933745817,1,181,101,69,6,3,581,27,485,87,324,10,34.0,203.0,88,10,156,67,1,2,1,0,11,-34,9,22,1,99,854,54,15,5,1,20,8,21,363,57,1451,27,32,4,1,59,0.84375,2,6,8,7,4,0,0,0,0,4,0,0,35;44;22;53;30;19;52;24;36;36;32;42;32;44;26;41;45;19;52;22;30;28;23;36;45;41;59,40;45;45;41,38,968,171,38,53,55,2,0,0.9636363636363636,1,1,0,0,52,51,0,73,2416,21,6,4,4,15,22,265,1,2071
2025,NO,REG,17,397,591,4027,19,12,49,-299,5,2,4787,1696,183,-24.03273987790199,1.5860825724399552,0,164,65,33,6,435,1603,9,6,4,101,-50.20769786957997,1,34,23,5,0,397,565,4027,19,5,5,4787,1696,183,55.273109901337804,0,164,65,33,6,0,624,22,502,90,363,11,44.0,287.0,84,10,99,79,1,1,0,0,6,-2,10,141,2,118,920,65,14,4,0,18,12,24,219,66,1665,30,42,12,0,57,0.7142857142857143,0,8,10,5,7,0,0,0,2,5,4,1,36;28;27;23;54;35;28;53;29;28;34;48;38;54;48;39;20;33;56;30;42;47;35;49;36;50;39;56;57;29,37;40;52;52;46;53;38;47;48;61;43;56,,1181,573,0,28,28,0,0,1.0,0,0,0,0,,56,2,61,2511,18,6,10,4,11,25,268,1,2163
2025,NYG,REG,17,323,526,3703,21,10,48,-229,5,2,4473,1767,160,6.615660495767447,-0.8442988393320952,2,141,76,52,9,511,2195,22,5,2,141,14.640233598655975,1,59,38,10,0,323,503,3703,21,3,2,4473,1767,160,82.42191073067954,2,141,76,52,9,1,627,24,476,90,377,9,38.0,258.0,96,9,226,77,0,0,0,0,5,-4,6,47,1,128,1075,67,11,3,2,14,7,26,223,70,1942,23,26,3,0,55,0.8846153846153846,1,8,10,3,1,0,0,0,0,1,2,0,21;55;38;33;33;25;22;31;47;34;22;32;19;21;44;27;39;32;23;45;35;23;30,45;52;51,,731,148,0,36,41,4,1,0.8780487804878049,0,0,0,0,,59,0,69,2627,17,6,4,4,18,27,368,2,2179
2025,NYJ,REG,17,298,494,2784,15,13,60,-399,5,3,3404,1334,136,-100.8781004056025,-4.104911801168474,4,110,41,27,3,456,2096,11,6,5,115,-30.92052308557818,2,53,41,13,3,298,472,2784,15,1,0,3404,1334,136,7.0117503823860154,4,111,41,26,3,4,610,20,554,77,294,9,26.0,175.0,58,0,0,66,0,0,1,50,7,-1,4,25,0,110,909,75,12,5,0,17,10,34,456,74,2210,28,29,1,0,58,0.9655172413793104,0,5,9,7,7,0,0,0,0,0,1,0,35;51;51;38;42;58;50;25;48;52;41;38;34;47;46;25;24;26;37;42;32;56;31;41;51;29;36;39,55,,1125,55,0,22,22,0,0,1.0,1,1,0,0,56,71,0,72,3317,32,1,18,6,25,21,133,0,3064
2025,PHI,REG,17,318,497,3498,26,7,35,-195,3,1,4483,1365,166,31.852505132020077,3.0378869124527634,0,130,73,42,9,478,1988,17,4,2,114,-10.766691730189141,1,55,39,9,3,318,464,3498,26,2,2,4483,1365,166,97.18829960791598,0,130,73,42,9,2,640,20,482,71,304,12,42.0,250.0,105,12,127,90,1,3,0,96,6,-18,9,5,0,117,1073,59,11,5,2,16,8,22,239,59,1411,20,27,7,0,58,0.7407407407407407,0,3,6,7,4,0,0,0,0,3,4,0,58;58;51;39;31;42;40;39;27;34;49;44;41;30;54;44;27;47;28;39,42;58;56;52;48;43;52,,822,351,0,41,42,1,0,0.9761904761904762,0,0,0,0,,72,0,70,3591,20,12,7,8,12,33,350,0,3081
2025,PIT,REG,17,365,550,3632,26,9,31,-192,4,2,3280,2373,160,29.334570500773772,0.589642157043077,1,136,66,41,7,407,1756,16,3,0,109,3.6057696840679867,0,44,30,11,3,365,522,3632,26,6,3,3280,2373,160,91.51002695320385,1,136,66,41,7,0,667,17,535,89,365,17,48.0,291.0,112,15,182,90,1,1,1,0,8,-10,12,28,2,101,803,73,15,2,3,17,6,28,247,63,1524,27,32,4,1,60,0.84375,0,6,2,10,8,1,0,0,1,1,2,0,56;60;48;48;45;33;44;50;48;41;56;50;48;56;25;46;59;25;30;23;28;59;23;44;40;57;25,54;45;37;54,30,1167,190,30,42,43,0,1,0.9767441860465116,0,0,0,0,,62,0,67,2823,26,3,9,3,22,25,175,0,2588
